NFT_ID,X_POSITION,Y_POSITION,DISTANCE_TO_EDGE
159,59,2,1
160,60,2,1
161,61,2,1
162,62,2,1
163,63,2,1
164,64,2,1
165,65,2,1
166,66,2,1
167,67,2,1
168,68,2,1
169,69,2,1
170,70,2,1
171,71,2,1
172,72,2,1
173,73,2,1
174,74,2,1
175,75,2,1
176,76,2,1
177,77,2,1
178,78,2,1
179,79,2,1
180,80,2,1
181,81,2,1
182,82,2,1
183,83,2,1
184,84,2,1
185,85,2,1
186,86,2,1
187,87,2,1
188,88,2,1
189,89,2,1
190,90,2,1
191,91,2,1
192,92,2,1
193,93,2,1
194,94,2,1
195,95,2,1
196,96,2,1
197,97,2,1
198,98,2,1
199,99,2,1
200,100,2,0
201,1,3,0
202,2,3,1
203,3,3,2
204,4,3,2
205,5,3,2
206,6,3,2
207,7,3,2
208,8,3,2
209,9,3,2
210,10,3,2
211,11,3,2
212,12,3,2
213,13,3,2
214,14,3,2
215,15,3,2
216,16,3,2
217,17,3,2
218,18,3,2
219,19,3,2
220,20,3,2
221,21,3,2
222,22,3,2
223,23,3,2
224,24,3,2
225,25,3,2
226,26,3,2
227,27,3,2
228,28,3,2
229,29,3,2
230,30,3,2
231,31,3,2
232,32,3,2
233,33,3,2
234,34,3,2
235,35,3,2
236,36,3,2
237,37,3,2
238,38,3,2
239,39,3,2
240,40,3,2
241,41,3,2
242,42,3,2
243,43,3,2
244,44,3,2
245,45,3,2
246,46,3,2
247,47,3,2
248,48,3,2
249,49,3,2
250,50,3,2
251,51,3,2
252,52,3,2
253,53,3,2
254,54,3,2
255,55,3,2
256,56,3,2
257,57,3,2
258,58,3,2
259,59,3,2
260,60,3,2
261,61,3,2
262,62,3,2
263,63,3,2
264,64,3,2
265,65,3,2
266,66,3,2
267,67,3,2
268,68,3,2
269,69,3,2
270,70,3,2
271,71,3,2
272,72,3,2
273,73,3,2
274,74,3,2
275,75,3,2
276,76,3,2
277,77,3,2
278,78,3,2
279,79,3,2
280,80,3,2
281,81,3,2
282,82,3,2
283,83,3,2
284,84,3,2
285,85,3,2
286,86,3,2
287,87,3,2
288,88,3,2
289,89,3,2
290,90,3,2
291,91,3,2
292,92,3,2
293,93,3,2
294,94,3,2
295,95,3,2
296,96,3,2
297,97,3,2
298,98,3,2
299,99,3,1
300,100,3,0
301,1,4,0
302,2,4,1
303,3,4,2
304,4,4,3
305,5,4,3
306,6,4,3
307,7,4,3
308,8,4,3
309,9,4,3
310,10,4,3
311,11,4,3
312,12,4,3
313,13,4,3
314,14,4,3
315,15,4,3
316,16,4,3
317,17,4,3
318,18,4,3
319,19,4,3
320,20,4,3
321,21,4,3
322,22,4,3
323,23,4,3
324,24,4,3
325,25,4,3
326,26,4,3
327,27,4,3
328,28,4,3
329,29,4,3
330,30,4,3
331,31,4,3
332,32,4,3
333,33,4,3
334,34,4,3
335,35,4,3
336,36,4,3
337,37,4,3
338,38,4,3
339,39,4,3
340,40,4,3
341,41,4,3
342,42,4,3
343,43,4,3
344,44,4,3
345,45,4,3
346,46,4,3
347,47,4,3
348,48,4,3
349,49,4,3
350,50,4,3
351,51,4,3
352,52,4,3
353,53,4,3
354,54,4,3
355,55,4,3
356,56,4,3
357,57,4,3
358,58,4,3
359,59,4,3
360,60,4,3
361,61,4,3
362,62,4,3
363,63,4,3
364,64,4,3
365,65,4,3
366,66,4,3
367,67,4,3
368,68,4,3
369,69,4,3
370,70,4,3
371,71,4,3
372,72,4,3
373,73,4,3
374,74,4,3
375,75,4,3
376,76,4,3
377,77,4,3
378,78,4,3
379,79,4,3
380,80,4,3
381,81,4,3
382,82,4,3
383,83,4,3
384,84,4,3
385,85,4,3
386,86,4,3
387,87,4,3
388,88,4,3
389,89,4,3
390,90,4,3
391,91,4,3
392,92,4,3
393,93,4,3
394,94,4,3
395,95,4,3
396,96,4,3
397,97,4,3
398,98,4,2
399,99,4,1
400,100,4,0
401,1,5,0
402,2,5,1
403,3,5,2
404,4,5,3
405,5,5,4
406,6,5,4
407,7,5,4
408,8,5,4
409,9,5,4
410,10,5,4
411,11,5,4
412,12,5,4
413,13,5,4
414,14,5,4
415,15,5,4
416,16,5,4
417,17,5,4
418,18,5,4
419,19,5,4
420,20,5,4
421,21,5,4
422,22,5,4
423,23,5,4
424,24,5,4
425,25,5,4
426,26,5,4
427,27,5,4
428,28,5,4
429,29,5,4
430,30,5,4
431,31,5,4
432,32,5,4
433,33,5,4
434,34,5,4
435,35,5,4
436,36,5,4
437,37,5,4
438,38,5,4
439,39,5,4
440,40,5,4
441,41,5,4
442,42,5,4
443,43,5,4
444,44,5,4
445,45,5,4
446,46,5,4
447,47,5,4
448,48,5,4
449,49,5,4
450,50,5,4
451,51,5,4
452,52,5,4
453,53,5,4
454,54,5,4
455,55,5,4
456,56,5,4
457,57,5,4
458,58,5,4
459,59,5,4
460,60,5,4
461,61,5,4
462,62,5,4
463,63,5,4
464,64,5,4
465,65,5,4
466,66,5,4
467,67,5,4
468,68,5,4
469,69,5,4
470,70,5,4
471,71,5,4
472,72,5,4
473,73,5,4
474,74,5,4
475,75,5,4
476,76,5,4
477,77,5,4
478,78,5,4
479,79,5,4
480,80,5,4
481,81,5,4
482,82,5,4
483,83,5,4
484,84,5,4
485,85,5,4
486,86,5,4
487,87,5,4
488,88,5,4
489,89,5,4
490,90,5,4
491,91,5,4
492,92,5,4
493,93,5,4
494,94,5,4
495,95,5,4
496,96,5,4
497,97,5,3
498,98,5,2
499,99,5,1
500,100,5,0
501,1,6,0
502,2,6,1
503,3,6,2
504,4,6,3
505,5,6,4
506,6,6,5
507,7,6,5
508,8,6,5
509,9,6,5
510,10,6,5
511,11,6,5
512,12,6,5
513,13,6,5
514,14,6,5
515,15,6,5
516,16,6,5
517,17,6,5
518,18,6,5
519,19,6,5
520,20,6,5
521,21,6,5
522,22,6,5
523,23,6,5
524,24,6,5
525,25,6,5
526,26,6,5
527,27,6,5
528,28,6,5
529,29,6,5
530,30,6,5
531,31,6,5
532,32,6,5
533,33,6,5
534,34,6,5
535,35,6,5
536,36,6,5
537,37,6,5
538,38,6,5
539,39,6,5
540,40,6,5
541,41,6,5
542,42,6,5
543,43,6,5
544,44,6,5
545,45,6,5
546,46,6,5
547,47,6,5
548,48,6,5
549,49,6,5
550,50,6,5
551,51,6,5
552,52,6,5
553,53,6,5
554,54,6,5
555,55,6,5
556,56,6,5
557,57,6,5
558,58,6,5
559,59,6,5
560,60,6,5
561,61,6,5
562,62,6,5
563,63,6,5
564,64,6,5
565,65,6,5
566,66,6,5
567,67,6,5
568,68,6,5
569,69,6,5
570,70,6,5
571,71,6,5
572,72,6,5
573,73,6,5
574,74,6,5
575,75,6,5
576,76,6,5
577,77,6,5
578,78,6,5
579,79,6,5
580,80,6,5
581,81,6,5
582,82,6,5
583,83,6,5
584,84,6,5
585,85,6,5
586,86,6,5
587,87,6,5
588,88,6,5
589,89,6,5
590,90,6,5
591,91,6,5
592,92,6,5
593,93,6,5
594,94,6,5
595,95,6,5
596,96,6,4
597,97,6,3
598,98,6,2
599,99,6,1
600,100,6,0
601,1,7,0
602,2,7,1
603,3,7,2
604,4,7,3
605,5,7,4
606,6,7,5
607,7,7,6
608,8,7,6
609,9,7,6
610,10,7,6
611,11,7,6
612,12,7,6
613,13,7,6
614,14,7,6
615,15,7,6
616,16,7,6
617,17,7,6
618,18,7,6
619,19,7,6
620,20,7,6
621,21,7,6
622,22,7,6
623,23,7,6
624,24,7,6
625,25,7,6
626,26,7,6
627,27,7,6
628,28,7,6
629,29,7,6
630,30,7,6
631,31,7,6
632,32,7,6
633,33,7,6
634,34,7,6
635,35,7,6
636,36,7,6
637,37,7,6
638,38,7,6
639,39,7,6
640,40,7,6
641,41,7,6
642,42,7,6
643,43,7,6
644,44,7,6
645,45,7,6
646,46,7,6
647,47,7,6
648,48,7,6
649,49,7,6
650,50,7,6
651,51,7,6
652,52,7,6
653,53,7,6
654,54,7,6
655,55,7,6
656,56,7,6
657,57,7,6
658,58,7,6
659,59,7,6
660,60,7,6
661,61,7,6
662,62,7,6
663,63,7,6
664,64,7,6
665,65,7,6
666,66,7,6
667,67,7,6
668,68,7,6
669,69,7,6
670,70,7,6
671,71,7,6
672,72,7,6
673,73,7,6
674,74,7,6
675,75,7,6
676,76,7,6
677,77,7,6
678,78,7,6
679,79,7,6
680,80,7,6
681,81,7,6
682,82,7,6
683,83,7,6
684,84,7,6
685,85,7,6
686,86,7,6
687,87,7,6
688,88,7,6
689,89,7,6
690,90,7,6
691,91,7,6
692,92,7,6
693,93,7,6
694,94,7,6
695,95,7,5
696,96,7,4
697,97,7,3
698,98,7,2
699,99,7,1
700,100,7,0
701,1,8,0
702,2,8,1
703,3,8,2
704,4,8,3
705,5,8,4
706,6,8,5
707,7,8,6
708,8,8,7
709,9,8,7
710,10,8,7
711,11,8,7
712,12,8,7
713,13,8,7
714,14,8,7
715,15,8,7
716,16,8,7
717,17,8,7
718,18,8,7
719,19,8,7
720,20,8,7
721,21,8,7
722,22,8,7
723,23,8,7
724,24,8,7
725,25,8,7
726,26,8,7
727,27,8,7
728,28,8,7
729,29,8,7
730,30,8,7
731,31,8,7
732,32,8,7
733,33,8,7
734,34,8,7
735,35,8,7
736,36,8,7
737,37,8,7
738,38,8,7
739,39,8,7
740,40,8,7
741,41,8,7
742,42,8,7
743,43,8,7
744,44,8,7
745,45,8,7
746,46,8,7
747,47,8,7
748,48,8,7
749,49,8,7
750,50,8,7
751,51,8,7
752,52,8,7
753,53,8,7
754,54,8,7
755,55,8,7
756,56,8,7
757,57,8,7
758,58,8,7
759,59,8,7
760,60,8,7
761,61,8,7
762,62,8,7
763,63,8,7
764,64,8,7
765,65,8,7
766,66,8,7
767,67,8,7
768,68,8,7
769,69,8,7
770,70,8,7
771,71,8,7
772,72,8,7
773,73,8,7
774,74,8,7
775,75,8,7
776,76,8,7
777,77,8,7
778,78,8,7
779,79,8,7
780,80,8,7
781,81,8,7
782,82,8,7
783,83,8,7
784,84,8,7
785,85,8,7
786,86,8,7
787,87,8,7
788,88,8,7
789,89,8,7
790,90,8,7
791,91,8,7
792,92,8,7
793,93,8,7
794,94,8,6
795,95,8,5
796,96,8,4
797,97,8,3
798,98,8,2
799,99,8,1
800,100,8,0
801,1,9,0
802,2,9,1
803,3,9,2
804,4,9,3
805,5,9,4
806,6,9,5
807,7,9,6
808,8,9,7
809,9,9,8
810,10,9,8
811,11,9,8
812,12,9,8
813,13,9,8
814,14,9,8
815,15,9,8
816,16,9,8
817,17,9,8
818,18,9,8
819,19,9,8
820,20,9,8
821,21,9,8
822,22,9,8
823,23,9,8
824,24,9,8
825,25,9,8
826,26,9,8
827,27,9,8
828,28,9,8
829,29,9,8
830,30,9,8
831,31,9,8
832,32,9,8
833,33,9,8
834,34,9,8
835,35,9,8
836,36,9,8
837,37,9,8
838,38,9,8
839,39,9,8
840,40,9,8
841,41,9,8
842,42,9,8
843,43,9,8
844,44,9,8
845,45,9,8
846,46,9,8
847,47,9,8
848,48,9,8
849,49,9,8
850,50,9,8
851,51,9,8
852,52,9,8
853,53,9,8
854,54,9,8
855,55,9,8
856,56,9,8
857,57,9,8
858,58,9,8
859,59,9,8
860,60,9,8
861,61,9,8
862,62,9,8
863,63,9,8
864,64,9,8
865,65,9,8
866,66,9,8
867,67,9,8
868,68,9,8
869,69,9,8
870,70,9,8
871,71,9,8
872,72,9,8
873,73,9,8
874,74,9,8
875,75,9,8
876,76,9,8
877,77,9,8
878,78,9,8
879,79,9,8
880,80,9,8
881,81,9,8
882,82,9,8
883,83,9,8
884,84,9,8
885,85,9,8
886,86,9,8
887,87,9,8
888,88,9,8
889,89,9,8
890,90,9,8
891,91,9,8
892,92,9,8
893,93,9,7
894,94,9,6
895,95,9,5
896,96,9,4
897,97,9,3
898,98,9,2
899,99,9,1
900,100,9,0
901,1,10,0
902,2,10,1
903,3,10,2
904,4,10,3
905,5,10,4
906,6,10,5
907,7,10,6
908,8,10,7
909,9,10,8
910,10,10,9
911,11,10,9
912,12,10,9
913,13,10,9
914,14,10,9
915,15,10,9
916,16,10,9
917,17,10,9
918,18,10,9
919,19,10,9
920,20,10,9
921,21,10,9
922,22,10,9
923,23,10,9
924,24,10,9
925,25,10,9
926,26,10,9
927,27,10,9
928,28,10,9
929,29,10,9
930,30,10,9
931,31,10,9
932,32,10,9
933,33,10,9
934,34,10,9
935,35,10,9
936,36,10,9
937,37,10,9
938,38,10,9
939,39,10,9
940,40,10,9
941,41,10,9
942,42,10,9
943,43,10,9
944,44,10,9
945,45,10,9
946,46,10,9
947,47,10,9
948,48,10,9
949,49,10,9
950,50,10,9
951,51,10,9
952,52,10,9
953,53,10,9
954,54,10,9
955,55,10,9
956,56,10,9
957,57,10,9
958,58,10,9
959,59,10,9
960,60,10,9
961,61,10,9
962,62,10,9
963,63,10,9
964,64,10,9
965,65,10,9
966,66,10,9
967,67,10,9
968,68,10,9
969,69,10,9
970,70,10,9
971,71,10,9
972,72,10,9
973,73,10,9
974,74,10,9
975,75,10,9
976,76,10,9
977,77,10,9
978,78,10,9
979,79,10,9
980,80,10,9
981,81,10,9
982,82,10,9
983,83,10,9
984,84,10,9
985,85,10,9
986,86,10,9
987,87,10,9
988,88,10,9
989,89,10,9
990,90,10,9
991,91,10,9
992,92,10,8
993,93,10,7
994,94,10,6
995,95,10,5
996,96,10,4
997,97,10,3
998,98,10,2
999,99,10,1
1000,100,10,0
1001,1,11,0
1002,2,11,1
1003,3,11,2
1004,4,11,3
1005,5,11,4
1006,6,11,5
1007,7,11,6
1008,8,11,7
1009,9,11,8
1010,10,11,9
1011,11,11,10
1012,12,11,10
1013,13,11,10
1014,14,11,10
1015,15,11,10
1016,16,11,10
1017,17,11,10
1018,18,11,10
1019,19,11,10
1020,20,11,10
1021,21,11,10
1022,22,11,10
1023,23,11,10
1024,24,11,10
1025,25,11,10
1026,26,11,10
1027,27,11,10
1028,28,11,10
1029,29,11,10
1030,30,11,10
1031,31,11,10
1032,32,11,10
1033,33,11,10
1034,34,11,10
1035,35,11,10
1036,36,11,10
1037,37,11,10
1038,38,11,10
1039,39,11,10
1040,40,11,10
1041,41,11,10
1042,42,11,10
1043,43,11,10
1044,44,11,10
1045,45,11,10
1046,46,11,10
1047,47,11,10
1048,48,11,10
1049,49,11,10
1050,50,11,10
1051,51,11,10
1052,52,11,10
1053,53,11,10
1054,54,11,10
1055,55,11,10
1056,56,11,10
1057,57,11,10
1058,58,11,10
1059,59,11,10
1060,60,11,10
1061,61,11,10
1062,62,11,10
1063,63,11,10
1064,64,11,10
1065,65,11,10
1066,66,11,10
1067,67,11,10
1068,68,11,10
1069,69,11,10
1070,70,11,10
1071,71,11,10
1072,72,11,10
1073,73,11,10
1074,74,11,10
1075,75,11,10
1076,76,11,10
1077,77,11,10
1078,78,11,10
1079,79,11,10
1080,80,11,10
1081,81,11,10
1082,82,11,10
1083,83,11,10
1084,84,11,10
1085,85,11,10
1086,86,11,10
1087,87,11,10
1088,88,11,10
1089,89,11,10
1090,90,11,10
1091,91,11,9
1092,92,11,8
1093,93,11,7
1094,94,11,6
1095,95,11,5
1096,96,11,4
1097,97,11,3
1098,98,11,2
1099,99,11,1
1100,100,11,0
1101,1,12,0
1102,2,12,1
1103,3,12,2
1104,4,12,3
1105,5,12,4
1106,6,12,5
1107,7,12,6
1108,8,12,7
1109,9,12,8
1110,10,12,9
1111,11,12,10
1112,12,12,11
1113,13,12,11
1114,14,12,11
1115,15,12,11
1116,16,12,11
1117,17,12,11
1118,18,12,11
1119,19,12,11
1120,20,12,11
1121,21,12,11
1122,22,12,11
1123,23,12,11
1124,24,12,11
1125,25,12,11
1126,26,12,11
1127,27,12,11
1128,28,12,11
1129,29,12,11
1130,30,12,11
1131,31,12,11
1132,32,12,11
1133,33,12,11
1134,34,12,11
1135,35,12,11
1136,36,12,11
1137,37,12,11
1138,38,12,11
1139,39,12,11
1140,40,12,11
1141,41,12,11
1142,42,12,11
1143,43,12,11
1144,44,12,11
1145,45,12,11
1146,46,12,11
1147,47,12,11
1148,48,12,11
1149,49,12,11
1150,50,12,11
1151,51,12,11
1152,52,12,11
1153,53,12,11
1154,54,12,11
1155,55,12,11
1156,56,12,11
1157,57,12,11
1158,58,12,11
1159,59,12,11
1160,60,12,11
1161,61,12,11
1162,62,12,11
1163,63,12,11
1164,64,12,11
1165,65,12,11
1166,66,12,11
1167,67,12,11
1168,68,12,11
1169,69,12,11
1170,70,12,11
1171,71,12,11
1172,72,12,11
1173,73,12,11
1174,74,12,11
1175,75,12,11
1176,76,12,11
1177,77,12,11
1178,78,12,11
1179,79,12,11
1180,80,12,11
1181,81,12,11
1182,82,12,11
1183,83,12,11
1184,84,12,11
1185,85,12,11
1186,86,12,11
1187,87,12,11
1188,88,12,11
1189,89,12,11
1190,90,12,10
1191,91,12,9
1192,92,12,8
1193,93,12,7
1194,94,12,6
1195,95,12,5
1196,96,12,4
1197,97,12,3
1198,98,12,2
1199,99,12,1
1200,100,12,0
1201,1,13,0
1202,2,13,1
1203,3,13,2
1204,4,13,3
1205,5,13,4
1206,6,13,5
1207,7,13,6
1208,8,13,7
1209,9,13,8
1210,10,13,9
1211,11,13,10
1212,12,13,11
1213,13,13,12
1214,14,13,12
1215,15,13,12
1216,16,13,12
1217,17,13,12
1218,18,13,12
1219,19,13,12
1220,20,13,12
1221,21,13,12
1222,22,13,12
1223,23,13,12
1224,24,13,12
1225,25,13,12
1226,26,13,12
1227,27,13,12
1228,28,13,12
1229,29,13,12
1230,30,13,12
1231,31,13,12
1232,32,13,12
1233,33,13,12
1234,34,13,12
1235,35,13,12
1236,36,13,12
1237,37,13,12
1238,38,13,12
1239,39,13,12
1240,40,13,12
1241,41,13,12
1242,42,13,12
1243,43,13,12
1244,44,13,12
1245,45,13,12
1246,46,13,12
1247,47,13,12
1248,48,13,12
1249,49,13,12
1250,50,13,12
1251,51,13,12
1252,52,13,12
1253,53,13,12
1254,54,13,12
1255,55,13,12
1256,56,13,12
1257,57,13,12
1258,58,13,12
1259,59,13,12
1260,60,13,12
1261,61,13,12
1262,62,13,12
1263,63,13,12
1264,64,13,12
1265,65,13,12
1266,66,13,12
1267,67,13,12
1268,68,13,12
1269,69,13,12
1270,70,13,12
1271,71,13,12
1272,72,13,12
1273,73,13,12
1274,74,13,12
1275,75,13,12
1276,76,13,12
1277,77,13,12
1278,78,13,12
1279,79,13,12
1280,80,13,12
1281,81,13,12
1282,82,13,12
1283,83,13,12
1284,84,13,12
1285,85,13,12
1286,86,13,12
1287,87,13,12
1288,88,13,12
1289,89,13,11
1290,90,13,10
1291,91,13,9
1292,92,13,8
1293,93,13,7
1294,94,13,6
1295,95,13,5
1296,96,13,4
1297,97,13,3
1298,98,13,2
1299,99,13,1
1300,100,13,0
1301,1,14,0
1302,2,14,1
1303,3,14,2
1304,4,14,3
1305,5,14,4
1306,6,14,5
1307,7,14,6
1308,8,14,7
1309,9,14,8
1310,10,14,9
1311,11,14,10
1312,12,14,11
1313,13,14,12
1314,14,14,13
1315,15,14,13
1316,16,14,13
1317,17,14,13
1318,18,14,13
1319,19,14,13
1320,20,14,13
1321,21,14,13
1322,22,14,13
1323,23,14,13
1324,24,14,13
1325,25,14,13
1326,26,14,13
1327,27,14,13
1328,28,14,13
1329,29,14,13
1330,30,14,13
1331,31,14,13
1332,32,14,13
1333,33,14,13
1334,34,14,13
1335,35,14,13
1336,36,14,13
1337,37,14,13
1338,38,14,13
1339,39,14,13
1340,40,14,13
1341,41,14,13
1342,42,14,13
1343,43,14,13
1344,44,14,13
1345,45,14,13
1346,46,14,13
1347,47,14,13
1348,48,14,13
1349,49,14,13
1350,50,14,13
1351,51,14,13
1352,52,14,13
1353,53,14,13
1354,54,14,13
1355,55,14,13
1356,56,14,13
1357,57,14,13
1358,58,14,13
1359,59,14,13
1360,60,14,13
1361,61,14,13
1362,62,14,13
1363,63,14,13
1364,64,14,13
1365,65,14,13
1366,66,14,13
1367,67,14,13
1368,68,14,13
1369,69,14,13
1370,70,14,13
1371,71,14,13
1372,72,14,13
1373,73,14,13
1374,74,14,13
1375,75,14,13
1376,76,14,13
1377,77,14,13
1378,78,14,13
1379,79,14,13
1380,80,14,13
1381,81,14,13
1382,82,14,13
1383,83,14,13
1384,84,14,13
1385,85,14,13
1386,86,14,13
1387,87,14,13
1388,88,14,12
1389,89,14,11
1390,90,14,10
1391,91,14,9
1392,92,14,8
1393,93,14,7
1394,94,14,6
1395,95,14,5
1396,96,14,4
1397,97,14,3
1398,98,14,2
1399,99,14,1
1400,100,14,0
1401,1,15,0
1402,2,15,1
1403,3,15,2
1404,4,15,3
1405,5,15,4
1406,6,15,5
1407,7,15,6
1408,8,15,7
1409,9,15,8
1410,10,15,9
1411,11,15,10
1412,12,15,11
1413,13,15,12
1414,14,15,13
1415,15,15,14
1416,16,15,14
1417,17,15,14
1418,18,15,14
1419,19,15,14
1420,20,15,14
1421,21,15,14
1422,22,15,14
1423,23,15,14
1424,24,15,14
1425,25,15,14
1426,26,15,14
1427,27,15,14
1428,28,15,14
1429,29,15,14
1430,30,15,14
1431,31,15,14
1432,32,15,14
1433,33,15,14
1434,34,15,14
1435,35,15,14
1436,36,15,14
1437,37,15,14
1438,38,15,14
1439,39,15,14
1440,40,15,14
1441,41,15,14
1442,42,15,14
1443,43,15,14
1444,44,15,14
1445,45,15,14
1446,46,15,14
1447,47,15,14
1448,48,15,14
1449,49,15,14
1450,50,15,14
1451,51,15,14
1452,52,15,14
1453,53,15,14
1454,54,15,14
1455,55,15,14
1456,56,15,14
1457,57,15,14
1458,58,15,14
1459,59,15,14
1460,60,15,14
1461,61,15,14
1462,62,15,14
1463,63,15,14
1464,64,15,14
1465,65,15,14
1466,66,15,14
1467,67,15,14
1468,68,15,14
1469,69,15,14
1470,70,15,14
1471,71,15,14
1472,72,15,14
1473,73,15,14
1474,74,15,14
1475,75,15,14
1476,76,15,14
1477,77,15,14
1478,78,15,14
1479,79,15,14
1480,80,15,14
1481,81,15,14
1482,82,15,14
1483,83,15,14
1484,84,15,14
1485,85,15,14
1486,86,15,14
1487,87,15,13
1488,88,15,12
1489,89,15,11
1490,90,15,10
1491,91,15,9
1492,92,15,8
1493,93,15,7
1494,94,15,6
1495,95,15,5
1496,96,15,4
1497,97,15,3
1498,98,15,2
1499,99,15,1
1500,100,15,0
1501,1,16,0
1502,2,16,1
1503,3,16,2
1504,4,16,3
1505,5,16,4
1506,6,16,5
1507,7,16,6
1508,8,16,7
1509,9,16,8
1510,10,16,9
1511,11,16,10
1512,12,16,11
1513,13,16,12
1514,14,16,13
1515,15,16,14
1516,16,16,15
1517,17,16,15
1518,18,16,15
1519,19,16,15
1520,20,16,15
1521,21,16,15
1522,22,16,15
1523,23,16,15
1524,24,16,15
1525,25,16,15
1526,26,16,15
1527,27,16,15
1528,28,16,15
1529,29,16,15
1530,30,16,15
1531,31,16,15
1532,32,16,15
1533,33,16,15
1534,34,16,15
1535,35,16,15
1536,36,16,15
1537,37,16,15
1538,38,16,15
1539,39,16,15
1540,40,16,15
1541,41,16,15
1542,42,16,15
1543,43,16,15
1544,44,16,15
1545,45,16,15
1546,46,16,15
1547,47,16,15
1548,48,16,15
1549,49,16,15
1550,50,16,15
1551,51,16,15
1552,52,16,15
1553,53,16,15
1554,54,16,15
1555,55,16,15
1556,56,16,15
1557,57,16,15
1558,58,16,15
1559,59,16,15
1560,60,16,15
1561,61,16,15
1562,62,16,15
1563,63,16,15
1564,64,16,15
1565,65,16,15
1566,66,16,15
1567,67,16,15
1568,68,16,15
1569,69,16,15
1570,70,16,15
1571,71,16,15
1572,72,16,15
1573,73,16,15
1574,74,16,15
1575,75,16,15
1576,76,16,15
1577,77,16,15
1578,78,16,15
1579,79,16,15
1580,80,16,15
1581,81,16,15
1582,82,16,15
1583,83,16,15
1584,84,16,15
1585,85,16,15
1586,86,16,14
1587,87,16,13
1588,88,16,12
1589,89,16,11
1590,90,16,10
1591,91,16,9
1592,92,16,8
1593,93,16,7
1594,94,16,6
1595,95,16,5
1596,96,16,4
1597,97,16,3
1598,98,16,2
1599,99,16,1
1600,100,16,0
1601,1,17,0
1602,2,17,1
1603,3,17,2
1604,4,17,3
1605,5,17,4
1606,6,17,5
1607,7,17,6
1608,8,17,7
1609,9,17,8
1610,10,17,9
1611,11,17,10
1612,12,17,11
1613,13,17,12
1614,14,17,13
1615,15,17,14
1616,16,17,15
1617,17,17,16
1618,18,17,16
1619,19,17,16
1620,20,17,16
1621,21,17,16
1622,22,17,16
1623,23,17,16
1624,24,17,16
1625,25,17,16
1626,26,17,16
1627,27,17,16
1628,28,17,16
1629,29,17,16
1630,30,17,16
1631,31,17,16
1632,32,17,16
1633,33,17,16
1634,34,17,16
1635,35,17,16
1636,36,17,16
1637,37,17,16
1638,38,17,16
1639,39,17,16
1640,40,17,16
1641,41,17,16
1642,42,17,16
1643,43,17,16
1644,44,17,16
1645,45,17,16
1646,46,17,16
1647,47,17,16
1648,48,17,16
1649,49,17,16
1650,50,17,16
1651,51,17,16
1652,52,17,16
1653,53,17,16
1654,54,17,16
1655,55,17,16
1656,56,17,16
1657,57,17,16
1658,58,17,16
